UserId,total,mean,median,avg_1week_rev,total_1week_rev
3230279,975.0,60.94,47.5,45.714285714285715,320.0
3230346,42.63,42.63,42.63,42.63,42.63
3230371,1500.0,1500.0,1500.0,1500.0,1500.0
3230412,26.72,26.72,26.72,26.72,26.72
3230464,140.0,140.0,140.0,140.0,140.0
3230506,1216.53,86.9,86.57,85.27,85.27
3230557,93.79,93.79,93.79,93.79,93.79
3230624,1603.46,1603.46,1603.46,1603.46,1603.46
3230692,65.0,32.5,32.5,35.0,35.0
3230725,1561.14,111.51,55.53,85.27,85.27
3230774,17.82,17.82,17.82,17.82,17.82
3230779,361.68,60.28,60.55,85.27,85.27
3230830,17.05,17.05,17.05,17.05,17.05
3230838,120.0,20.0,20.0,20.0,40.0
3230841,426.87,213.44,213.44,341.06,341.06
3230879,42.63,42.63,42.63,42.63,42.63
3230897,42.63,42.63,42.63,42.63,42.63
3230954,107.93,35.98,42.72,21.32,21.32
3230970,165.0,33.0,30.0,30.0,30.0
3231026,250.0,125.0,125.0,150.0,150.0
3231068,1750.0,218.75,200.0,150.0,450.0
3231110,25.0,25.0,25.0,25.0,25.0
3231112,270.0,135.0,135.0,135.0,270.0
3231146,126.18,63.09,63.09,93.79,93.79
3231148,330.0,110.0,100.0,110.0,330.0
3231233,199.54,99.77,99.77,99.77000000000001,199.54000000000002
3231332,18.76,18.76,18.76,18.76,18.76
3231398,20.0,20.0,20.0,20.0,20.0
3231429,40.0,40.0,40.0,40.0,40.0
3231497,40.0,20.0,20.0,20.0,20.0
3231761,771.45,110.21,85.27,234.48499999999999,468.96999999999997
3231834,137.7,68.85,68.85,68.85,137.7
3231848,89.08,89.08,89.08,89.08,89.08
3231892,4500.0,900.0,650.0,666.6666666666666,2000.0
3231927,358.0,89.5,100.0,64.5,129.0
3231999,426.33,213.17,213.17,213.16500000000002,426.33000000000004
3232003,210.0,30.0,30.0,30.0,210.0
3232019,7775.28,1943.82,1735.14,1943.8199999999997,7775.279999999999
3232062,17.82,17.82,17.82,17.82,17.82
3232071,90.17,18.03,17.87,17.82,17.82
3232080,200.0,100.0,100.0,100.0,100.0
3232122,655.0,163.75,62.5,163.75,655.0
3232181,2850.0,950.0,250.0,1375.0,2750.0
3232408,41.23,20.62,20.62,29.19,29.19
3232759,11.68,11.68,11.68,11.68,11.68
3232833,20.0,20.0,20.0,20.0,20.0
3232902,114.0,57.0,57.0,58.0,58.0
3232920,76.4,38.2,38.2,0.0,0.0
3232932,8286.0,306.89,150.0,300.0,300.0
